,title,date,article_id,url,main_topic,all_topics,authors,year
13,AutoML for Climate Change: A Call to Action,2022-10-07 04:52:26+00:00,13,http://arxiv.org/pdf/2210.03324v1,cs.LG,"['cs.LG', 'cs.AI', 'stat.ML']","[arxiv.Result.Author('Renbo Tu'), arxiv.Result.Author('Nicholas Roberts'), arxiv.Result.Author('Vishak Prasad'), arxiv.Result.Author('Sibasis Nayak'), arxiv.Result.Author('Paarth Jain'), arxiv.Result.Author('Frederic Sala'), arxiv.Result.Author('Ganesh Ramakrishnan'), arxiv.Result.Author('Ameet Talwalkar'), arxiv.Result.Author('Willie Neiswanger'), arxiv.Result.Author('Colin White')]",2022
14,NAS-Bench-Suite-Zero: Accelerating Research on Zero Cost Proxies,2022-10-06 21:56:26+00:00,14,http://arxiv.org/pdf/2210.03230v1,cs.LG,"['cs.LG', 'cs.AI', 'stat.ML']","[arxiv.Result.Author('Arjun Krishnakumar'), arxiv.Result.Author('Colin White'), arxiv.Result.Author('Arber Zela'), arxiv.Result.Author('Renbo Tu'), arxiv.Result.Author('Mahmoud Safari'), arxiv.Result.Author('Frank Hutter')]",2022
15,Why Should I Choose You? AutoXAI: A Framework for Selecting and Tuning eXplainable AI Solutions,2022-10-06 10:12:58+00:00,15,http://arxiv.org/pdf/2210.02795v2,cs.LG,['cs.LG'],"[arxiv.Result.Author('Robin Cugny'), arxiv.Result.Author('Julien Aligon'), arxiv.Result.Author('Max Chevalier'), arxiv.Result.Author('Geoffrey Roman Jimenez'), arxiv.Result.Author('Olivier Teste')]",2022
16,TC-SKNet with GridMask for Low-complexity Classification of Acoustic scene,2022-10-05 14:24:17+00:00,16,http://arxiv.org/pdf/2210.02287v1,cs.SD,"['cs.SD', 'cs.LG', 'eess.AS']","[arxiv.Result.Author('Luyuan Xie'), arxiv.Result.Author('Yan Zhong'), arxiv.Result.Author('Lin Yang'), arxiv.Result.Author('Zhaoyu Yan'), arxiv.Result.Author('Zhonghai Wu'), arxiv.Result.Author('Junjie Wang')]",2022
17,Efficient Non-Parametric Optimizer Search for Diverse Tasks,2022-09-27 17:51:31+00:00,17,http://arxiv.org/pdf/2209.13575v1,cs.LG,"['cs.LG', 'cs.AI', 'cs.CV', 'stat.ML']","[arxiv.Result.Author('Ruochen Wang'), arxiv.Result.Author('Yuanhao Xiong'), arxiv.Result.Author('Minhao Cheng'), arxiv.Result.Author('Cho-Jui Hsieh')]",2022
18,Industrial Data Science for Batch Manufacturing Processes,2022-09-20 11:59:13+00:00,18,http://arxiv.org/pdf/2209.09660v1,cs.LG,"['cs.LG', 'cs.SY', 'eess.SY']","[arxiv.Result.Author('Imanol Arzac-Garmendia'), arxiv.Result.Author('Mattia Vallerio'), arxiv.Result.Author('Carlos Perez-Galvan'), arxiv.Result.Author('Francisco J. Navarro-Brull')]",2022
19,IoT Data Analytics in Dynamic Environments: From An Automated Machine Learning Perspective,2022-09-16 16:02:56+00:00,19,http://arxiv.org/pdf/2209.08018v1,cs.LG,"['cs.LG', 'cs.CR', 'cs.NI', 'cs.SY', 'eess.SY', '68T01, 90C31', 'I.2.0; I.2.2; C.2.0']","[arxiv.Result.Author('Li Yang'), arxiv.Result.Author('Abdallah Shami')]",2022
20,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna & ML-Quadrat,2022-09-15 13:21:16+00:00,20,http://arxiv.org/pdf/2209.07282v1,cs.SE,"['cs.SE', 'cs.LG']","[arxiv.Result.Author('Jörg Christian Kirchhof'), arxiv.Result.Author('Evgeny Kusmenko'), arxiv.Result.Author('Jonas Ritz'), arxiv.Result.Author('Bernhard Rumpe'), arxiv.Result.Author('Armin Moin'), arxiv.Result.Author('Atta Badii'), arxiv.Result.Author('Stephan Günnemann'), arxiv.Result.Author('Moharram Challenger')]",2022
21,Simple and Effective Gradient-Based Tuning of Sequence-to-Sequence Models,2022-09-10 14:52:41+00:00,21,http://arxiv.org/pdf/2209.04683v1,cs.CL,"['cs.CL', 'cs.LG']","[arxiv.Result.Author('Jared Lichtarge'), arxiv.Result.Author('Chris Alberti'), arxiv.Result.Author('Shankar Kumar')]",2022
22,FDB: Fraud Dataset Benchmark,2022-08-30 17:35:39+00:00,22,http://arxiv.org/pdf/2208.14417v2,cs.LG,"['cs.LG', 'cs.CR', 'stat.ML']","[arxiv.Result.Author('Prince Grover'), arxiv.Result.Author('Zheng Li'), arxiv.Result.Author('Jianbo Liu'), arxiv.Result.Author('Jakub Zablocki'), arxiv.Result.Author('Hao Zhou'), arxiv.Result.Author('Julia Xu'), arxiv.Result.Author('Anqi Cheng')]",2022
23,A Deep Neural Networks ensemble workflow from hyperparameter search to inference leveraging GPU clusters,2022-08-30 08:04:19+00:00,23,http://arxiv.org/pdf/2208.14046v1,cs.LG,"['cs.LG', 'cs.DC']","[arxiv.Result.Author('Pierrick Pochelu'), arxiv.Result.Author('Serge G. Petiton'), arxiv.Result.Author('Bruno Conche')]",2022
24,An Empirical Study on the Usage of Automated Machine Learning Tools,2022-08-28 02:01:58+00:00,24,http://arxiv.org/pdf/2208.13116v1,cs.SE,"['cs.SE', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Forough Majidi'), arxiv.Result.Author('Moses Openja'), arxiv.Result.Author('Foutse Khomh'), arxiv.Result.Author('Heng Li')]",2022
25,Task Selection for AutoML System Evaluation,2022-08-26 16:07:14+00:00,25,http://arxiv.org/pdf/2208.12754v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Jonathan Lorraine'), arxiv.Result.Author('Nihesh Anderson'), arxiv.Result.Author('Chansoo Lee'), arxiv.Result.Author('Quentin De Laroussilhe'), arxiv.Result.Author('Mehadi Hassen')]",2022
26,"Survey on Evolutionary Deep Learning: Principles, Algorithms, Applications and Open Issues",2022-08-23 00:21:28+00:00,26,http://arxiv.org/pdf/2208.10658v1,cs.NE,['cs.NE'],"[arxiv.Result.Author('Nan Li'), arxiv.Result.Author('Lianbo Ma'), arxiv.Result.Author('Guo Yu'), arxiv.Result.Author('Bing Xue'), arxiv.Result.Author('Mengjie Zhang'), arxiv.Result.Author('Yaochu Jin')]",2022
27,On Taking Advantage of Opportunistic Meta-knowledge to Reduce Configuration Spaces for Automated Machine Learning,2022-08-08 19:22:24+00:00,27,http://arxiv.org/pdf/2208.04376v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('David Jacob Kedziora'), arxiv.Result.Author('Tien-Dung Nguyen'), arxiv.Result.Author('Katarzyna Musial'), arxiv.Result.Author('Bogdan Gabrys')]",2022
28,HPO: We won't get fooled again,2022-08-04 22:00:42+00:00,28,http://arxiv.org/pdf/2208.03320v1,cs.LG,"['cs.LG', 'cs.AI', 'cs.CV']","[arxiv.Result.Author('Kalifou René Traoré'), arxiv.Result.Author('Andrés Camero'), arxiv.Result.Author('Xiao Xiang Zhu')]",2022
29,Meta-learning from Learning Curves Challenge: Lessons learned from the First Round and Design of the Second Round,2022-08-04 12:12:09+00:00,29,http://arxiv.org/pdf/2208.02821v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Manh Hung Nguyen'), arxiv.Result.Author('Lisheng Sun'), arxiv.Result.Author('Nathan Grinsztajn'), arxiv.Result.Author('Isabelle Guyon')]",2022
30,Open Source Vizier: Distributed Infrastructure and API for Reliable and Flexible Blackbox Optimization,2022-07-27 17:42:09+00:00,30,http://arxiv.org/pdf/2207.13676v1,cs.LG,"['cs.LG', 'cs.DC', 'stat.ML']","[arxiv.Result.Author('Xingyou Song'), arxiv.Result.Author('Sagi Perel'), arxiv.Result.Author('Chansoo Lee'), arxiv.Result.Author('Greg Kochanski'), arxiv.Result.Author('Daniel Golovin')]",2022
31,AMLB: an AutoML Benchmark,2022-07-25 22:34:08+00:00,31,http://arxiv.org/pdf/2207.12560v1,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Author('Pieter Gijsbers'), arxiv.Result.Author('Marcos L. P. Bueno'), arxiv.Result.Author('Stefan Coors'), arxiv.Result.Author('Erin LeDell'), arxiv.Result.Author('Sébastien Poirier'), arxiv.Result.Author('Janek Thomas'), arxiv.Result.Author('Bernd Bischl'), arxiv.Result.Author('Joaquin Vanschoren')]",2022
32,Auto Machine Learning for Medical Image Analysis by Unifying the Search on Data Augmentation and Neural Architecture,2022-07-21 08:12:22+00:00,32,http://arxiv.org/pdf/2207.10351v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jianwei Zhang'), arxiv.Result.Author('Dong Li'), arxiv.Result.Author('Lituan Wang'), arxiv.Result.Author('Lei Zhang')]",2022
33,Bayesian Generational Population-Based Training,2022-07-19 16:57:38+00:00,33,http://arxiv.org/pdf/2207.09405v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Xingchen Wan'), arxiv.Result.Author('Cong Lu'), arxiv.Result.Author('Jack Parker-Holder'), arxiv.Result.Author('Philip J. Ball'), arxiv.Result.Author('Vu Nguyen'), arxiv.Result.Author('Binxin Ru'), arxiv.Result.Author('Michael A. Osborne')]",2022
34,Lightweight Automated Feature Monitoring for Data Streams,2022-07-18 14:38:11+00:00,34,http://arxiv.org/pdf/2207.08640v2,cs.LG,['cs.LG'],"[arxiv.Result.Author('João Conde'), arxiv.Result.Author('Ricardo Moreira'), arxiv.Result.Author('João Torres'), arxiv.Result.Author('Pedro Cardoso'), arxiv.Result.Author('Hugo R. C. Ferreira'), arxiv.Result.Author('Marco O. P. Sampaio'), arxiv.Result.Author('João Tiago Ascensão'), arxiv.Result.Author('Pedro Bizarro')]",2022
35,EVE: Environmental Adaptive Neural Network Models for Low-power Energy Harvesting System,2022-07-14 20:53:46+00:00,35,http://arxiv.org/pdf/2207.09258v2,cs.LG,"['cs.LG', 'cs.AR']","[arxiv.Result.Author('Sahidul Islam'), arxiv.Result.Author('Shanglin Zhou'), arxiv.Result.Author('Ran Ran'), arxiv.Result.Author('Yufang Jin'), arxiv.Result.Author('Wujie Wen'), arxiv.Result.Author('Caiwen Ding'), arxiv.Result.Author('Mimi Xie')]",2022
36,PASHA: Efficient HPO with Progressive Resource Allocation,2022-07-14 14:06:15+00:00,36,http://arxiv.org/pdf/2207.06940v1,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Author('Ondrej Bohdal'), arxiv.Result.Author('Lukas Balles'), arxiv.Result.Author('Beyza Ermis'), arxiv.Result.Author('Cédric Archambeau'), arxiv.Result.Author('Giovanni Zappella')]",2022
37,The Impact of Feature Quantity on Recommendation Algorithm Performance: A Movielens-100K Case Study,2022-07-13 12:13:00+00:00,37,http://arxiv.org/pdf/2207.08713v1,cs.IR,"['cs.IR', 'cs.LG']",[arxiv.Result.Author('Lukas Wegmeth')],2022
38,TabPFN: A Transformer That Solves Small Tabular Classification Problems in a Second,2022-07-05 07:17:43+00:00,38,http://arxiv.org/pdf/2207.01848v4,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Author('Noah Hollmann'), arxiv.Result.Author('Samuel Müller'), arxiv.Result.Author('Katharina Eggensperger'), arxiv.Result.Author('Frank Hutter')]",2022
